station,latitude,longitude,free_bikes,empty_slots,total_bike_cap,distanceyelp,poiname,location.address,ratingyelp,distancefoursq,namefoursq,location.addressfoursq,ratingfoursq,popularityyelp,categories
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,496.4168819303816,Heritage,1627 W Main St,4.5,828,Cobra Cabana,901 W Marshall St,7.9,0.995366095848649,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,496.4168819303816,Heritage,1627 W Main St,4.5,974,The Sidewalk Cafe,2101 W Main St,7.9,0.9933278748497464,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,496.4168819303816,Heritage,1627 W Main St,4.5,814,District 5,1911 W Main St,7.7,0.9792345347804122,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,496.4168819303816,Heritage,1627 W Main St,4.5,894,Byrd House,301 W Franklin St,7.3,0.9684685469400554,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,496.4168819303816,Heritage,1627 W Main St,4.5,854,The Camel,1621 W Broad St,7.2,0.9812727557793148,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,496.4168819303816,Heritage,1627 W Main St,4.5,490,Home Team Grill,1630 W Main St,6.5,0.9627719805585074,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,496.4168819303816,Heritage,1627 W Main St,4.5,99,CapTech,1118 W Main St,,0.9226347055031968,office
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,496.4168819303816,Heritage,1627 W Main St,4.5,115,Sportable Richmond Adaptive Sports & Recreation,1327 Floyd Ave,,0.224674668571329,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,126.77565729442588,Get Tight Lounge,1104 W Main St,4.3,295,Beauvine Burger Concept,1501 W Main St,8.5,0.9884675016985176,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,126.77565729442588,Get Tight Lounge,1104 W Main St,4.3,170,Postbellum,1323 W Main St,7.6,0.9516227374875876,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,126.77565729442588,Get Tight Lounge,1104 W Main St,4.3,828,Cobra Cabana,901 W Marshall St,7.9,0.995366095848649,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,126.77565729442588,Get Tight Lounge,1104 W Main St,4.3,974,The Sidewalk Cafe,2101 W Main St,7.9,0.9933278748497464,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,126.77565729442588,Get Tight Lounge,1104 W Main St,4.3,814,District 5,1911 W Main St,7.7,0.9792345347804122,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,126.77565729442588,Get Tight Lounge,1104 W Main St,4.3,894,Byrd House,301 W Franklin St,7.3,0.9684685469400554,bar
