station,distance,name,location.address,rating,popularity,categories,latitude,longitude
Veterans Pl & Pershing Dr ,238,Dave & Buster's,8661 Colesville Rd,6.2,0.9985095530025758,bar,38.997063,-77.026756
Veterans Pl & Pershing Dr ,96,Locavino,8519 Fenton St,,0.9951988793458281,bar,38.996807,-77.02466
Veterans Pl & Pershing Dr ,177,Chelsea School,711 Pershing Dr,,0.9688452438622811,school,38.998869,-77.022719
Veterans Pl & Pershing Dr ,243,Savor,8727 Colesville Rd,,0.32185625482602054,bar,38.998253,-77.026287
Veterans Pl & Pershing Dr ,246,Twisted Willow,8727 Colesville Rd,,0.519276084046411,bar,38.998367,-77.02613
Veterans Pl & Pershing Dr ,331,Dog Haus,933 Ellsworth Dr,,0.9974468021521431,bar,38.995677,-77.026951
Hartland Rd & Harte Pl,343,Open Road Grill & Icehouse,8100 Lee Hwy,8.2,0.995394406326996,bar,38.875733,-77.22382
Congress Heights Metro,137,Malcolm X Elementary School,1351 Alabama Ave SE,,0.9567812702813143,school,38.844892,-76.986211
Congress Heights Metro,494,Achievement Preparatory Academy,1500 Mississippi Ave SE,,0.31649667085980754,school,38.841763,-76.983536
Congress Heights Metro,496,Turner Elementary School,1500 Mississippi Ave SE,,0.28231589574302723,school,38.841763,-76.983536
Founders Row/W Broad St & West St,28,Dominion Wine and Beer,107 Rowell Ct,9.1,0.9821810406272273,bar,38.889858,-77.183656
Founders Row/W Broad St & West St,413,Spacebar,709 W Broad St,7.9,0.9583036350677121,bar,38.887422,-77.179944
Founders Row/W Broad St & West St,178,Saint James School Convent,101 N Spring St,,0.24091233071988596,school,38.889375,-77.181878
Founders Row/W Broad St & West St,239,Saint James Catholic School,830 W Broad St,,0.9493941553813258,school,38.889267,-77.180982
Founders Row/W Broad St & West St,318,Falls Church City School Board Superintendent Office,800 W Broad St,,0.11261582323592302,school,38.888409,-77.180259
Founders Row/W Broad St & West St,334,Falls Church City Public Schools,800 W Broad St,,0.41161796151104774,school,38.888354,-77.180295
Founders Row/W Broad St & West St,319,Northwood High School,800 W Broad St,,,school,38.888354,-77.180295
W&OD Trail/Sunset Hills Rd & Old Reston Ave,314,The Dominion Lounge,11710 Plaza America Dr,,0.8479591833091967,school,38.952393,-77.350909
W&OD Trail/Sunset Hills Rd & Old Reston Ave,446,KidWX,11654 Plaza America Dr,,0.25464138163832334,school,38.951461,-77.348697
W&OD Trail/Sunset Hills Rd & Old Reston Ave,372,Fairfax Collegiate School,1766 Ivy Oak Sq,,,school,38.957542,-77.348729
W&OD Trail/Sunset Hills Rd & Old Reston Ave,476,Fox Mill Woods Swim & Tennis,11654 Plaza America Dr,,,bar,38.951461,-77.348697
George Mason Dr & Wilson Blvd,144,Arlington Traditional School,855 N Edison St,,0.9075715151690096,school,38.879852,-77.121939
George Mason Dr & Wilson Blvd,489,Iot Hack School,900 N Glebe Rd,,0.3151574632681927,school,38.880777,-77.115676
George Mason Dr & Wilson Blvd,497,CarPool,900 N Glebe Rd,,0.9831712034177179,bar,38.880722,-77.115712
George Mason Dr & Wilson Blvd,429,Holiday Inn,4610 Fairfax Dr,,,bar,38.88174,-77.117377
George Mason Dr & Wilson Blvd,434,Full Circle Montessori School,801 N Wakefield St,,,school,38.879973,-77.115887
S Arlington Mill Dr & Campbell Ave,227,Copperwood Tavern,4021 Campbell Ave,8.5,0.9826227520711255,bar,38.841121,-77.087715
S Arlington Mill Dr & Campbell Ave,193,Cheesetique,4056 Campbell Ave,8.3,0.8996911352942875,bar,38.840605,-77.088461
S Arlington Mill Dr & Campbell Ave,136,Big Buns Damn Good Burger Co.,4251 Campbell Ave,7.4,0.979447507432959,bar,38.84123,-77.089578
S Arlington Mill Dr & Campbell Ave,140,Dudley’s Sports Bar,,6.6,0.9809196663106544,bar,38.841349,-77.08837
S Arlington Mill Dr & Campbell Ave,141,Dudley's Sport and Ale,2766 S Arlington Mill Dr,,0.8976993909303467,bar,38.841349,-77.08837
S Arlington Mill Dr & Campbell Ave,149,Snouts & Stouts,2709 S Oakland St,,0.9922350835666657,bar,38.84365814714041,-77.08975553512573
S Arlington Mill Dr & Campbell Ave,269,Astro Beer Hall,4001 Campbell Ave,,0.9941113644892186,bar,38.840957,-77.086982
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,375,Black's Bar & Kitchen,7750 Woodmont Ave,8.7,0.9916968095596272,bar,38.987884,-77.096229
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,453,Hawkers Asian Street Food,7117 Bethesda Ln,8.2,0.9931145586666875,bar,38.981444,-77.097922
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,468,Villain & Saint,7141 Wisconsin Ave,7.4,0.9276408394767853,bar,38.980805,-77.0922
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,285,Q by Peter Chang,4500 E West Hwy,7.0,0.9920118507505936,bar,38.98451,-77.091192
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,409,World of Beer,7200 Wisconsin Ave,6.7,0.994392317798968,bar,38.981394,-77.093992
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,268,The Barking Dog,4723 Elm St,6.4,0.9960083987865087,bar,38.982327,-77.095313
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,143,Piazza Beer Garden,7401 Woodmont Ave,,0.9595786725043931,bar,38.983781,-77.095802
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,157,Corella Café & Lounge,4646 Montgomery Ave,,0.995462310389444,bar,38.983599,-77.093334
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,281,Our Lady Of Lourdes School,7500 Pearl St,,0.7199190740649983,school,38.985758,-77.091575
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,309,The Salt Line,7284 Woodmont Ave,,0.9974932104862232,bar,38.982259,-77.096289
Gatehouse Rd & Telestar Ct,104,Fairfax County Public Schools,8115 Gatehouse Rd,,0.9842867755576178,school,38.86848,-77.224099
Gatehouse Rd & Telestar Ct,260,Luther Jackson Middle School,3020 Gallows Rd,,0.9910033109541467,school,38.868314,-77.228966
Gatehouse Rd & Telestar Ct,386,Musicbox,2980 Gallows Rd,,0.9960259166576697,bar,38.869825,-77.229338
Gatehouse Rd & Telestar Ct,395,TD Karaoke,2980 Gallows Rd,,0.22052847668927228,bar,38.869665,-77.229363
Gatehouse Rd & Telestar Ct,98,FCPS Grab and Go Meals,8115 Gatehouse Rd,,,school,38.868425,-77.224135
Gatehouse Rd & Telestar Ct,98,"Fairfax County, Schools & School Board, Superintendent's Office",8115 Gatehouse Rd,,,school,38.868425,-77.224135
Gatehouse Rd & Telestar Ct,98,Fairfax County Special Education,8115 Gatehouse Rd,,,school,38.868425,-77.224135
Gatehouse Rd & Telestar Ct,100,TJ Admissions,8115 Gatehouse Rd,,,school,38.86848,-77.224099
Gatehouse Rd & Telestar Ct,408,Fairfax County Public Schools,3020 Gallows Rd,,,school,38.868153,-77.22996
Roosevelt Center & Crescent Rd,136,Greenbelt Branch Branch Library,6301 Breezewood Dr,,,school,39.000822,-76.879447
Wisconsin Ave & Rodman St NW,97,Sidwell Friends School,3825 Wisconsin Ave NW,7.4,0.9910261443669025,school,38.939337,-77.074014
Wisconsin Ave & Rodman St NW,229,Top Test Prep,3615 Wisconsin Ave NW,,0.8385106604597499,school,38.937975,-77.073788
Wisconsin Ave & Rodman St NW,322,Hearst Elementary School,3950 37th St NW,,0.9380082847917184,school,38.940727,-77.071796
Wisconsin Ave & Rodman St NW,372,Donald S Goldman Liquors,4115 Wisconsin Ave NW,,0.36263190365924985,bar,38.943008,-77.076503
Wisconsin Ave & Rodman St NW,482,Yale Club DC,4200 Wisconsin Ave NW,,,bar,38.943574,-77.077742
Wilson Blvd & N Quincy St,263,Bronson Bier Hall,4100 Fairfax Dr,8.2,0.9864330456369252,school,38.881954,-77.109648
Wilson Blvd & N Quincy St,182,Punch Bowl Social,4238 Wilson Blvd,7.0,0.9852206795023526,bar,38.87966,-77.11101
Wilson Blvd & N Quincy St,235,Hawkers Asian Street Food,4201 Wilson Blvd,6.9,0.9845856305747193,bar,38.880409,-77.110835
Wilson Blvd & N Quincy St,405,First Down Sports Bar & Grill,4213 Fairfax Dr,6.8,0.9808619345899604,bar,38.882492,-77.11139
Wilson Blvd & N Quincy St,116,Robby's Health Juice Bar,3910 Wilson Blvd,,0.5064515197875473,bar,38.87942,-77.106731
Wilson Blvd & N Quincy St,253,The Sports Page,627 N Glebe Rd,,0.7788875097422279,bar,38.878542,-77.110219
Wilson Blvd & N Quincy St,262,Local Oyster,4238 Wilson Blvd,,0.22584649135467483,bar,38.87956,-77.110915
Wilson Blvd & N Quincy St,265,Superette,4238 Wilson Blvd,,0.933031203995035,bar,38.879514,-77.110784
Wilson Blvd & N Quincy St,284,Whino,4238 Wilson Blvd,5.5,0.964264064890454,bar,38.87961,-77.110963
Wilson Blvd & N Quincy St,299,DC Bocce,4201 Wilson Blvd,,0.07444505383482955,bar,38.880231,-77.111196
Minnesota Ave Metro/DOES,91,Friendship Collegiate Academy Carter G.Woodson Campus,4095 Minnesota Ave NE,,0.9959136907385002,school,38.897618,-76.946411
Minnesota Ave Metro/DOES,109,Friendship Collegiate School,4095 Minnesota Ave NE,,,school,38.897517,-76.946317
Minnesota Ave Metro/DOES,191,Village Learning Center Public Charter School,4017 Minnesota Ave NE,,,school,38.895505,-76.948389
Minnesota Ave Metro/DOES,407,Kuero DC,3701 Benning Rd NE,,,bar,38.894827,-76.951185
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,67,Karin's Cafe,2 Wisconsin Cir,,0.9816224526988154,bar,38.961764,-77.085452
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,117,Joy by Seven Reasons,5471 Wisconsin Ave,,0.9838298574596068,bar,38.96293,-77.086374
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,123,Joy by Seven Reasons,5471 Wisconsin Ave,,0.8399943912213383,bar,38.962935,-77.086291
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,124,The Hunter's Hound,5471 Wisconsin Ave,,0.987140199628254,bar,38.96293,-77.086374
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,175,Willie's Bar,4300 Military Rd NW,,0.8943568870335799,bar,38.96042,-77.08489
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,341,Trattoria 5520,5520 Wisconsin Ave,,0.6953184496536128,bar,38.964329,-77.08787
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,364,Alley Cat,5247 Wisconsin Ave NW,,0.9430400538431338,bar,38.958761,-77.084296
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,195,PMP Certification Washington DC,5335 Wisconsin Ave NW,,,school,38.960205,-77.084952
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,202,Banneker Ventures,5335 Wisconsin Ave NW,,,school,38.960155,-77.084905
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,467,Your Creative Camera,5406 Shoemaker Farm Ln,,,school,38.962769,-77.091252
Mount Vernon Ave & E Del Ray Ave,39,St Elmo's Coffee Pub,2300 Mount Vernon Ave,8.0,0.9628601921024547,bar,38.82628,-77.058869
Mount Vernon Ave & E Del Ray Ave,195,Front Porch,2006 Mount Vernon Ave,8.3,0.9231590181430096,bar,38.824186,-77.058569
Mount Vernon Ave & E Del Ray Ave,269,Kaizen Tavern,1909 Mount Vernon Ave,7.0,0.9453041622198506,bar,38.823428,-77.057944
Mount Vernon Ave & E Del Ray Ave,217,ChurchKey Beer Shop,2000 Mount Vernon Ave,,0.3512273212379936,bar,38.824085,-77.058474
Mount Vernon Ave & E Del Ray Ave,281,Mount Vernon Elementary School,2601 Commonwealth Ave,,0.9328175026680896,school,38.828179,-77.059865
Mount Vernon Ave & E Del Ray Ave,439,"Kevin D. Dohmen, M.Ed",21 W Caton Ave,,0.5688900747065101,school,38.827577,-77.063168
American University East Campus,409,Chef Geoff's,3201 New Mexico Ave NW,8.0,0.9813472000769188,bar,38.933037,-77.084831
American University East Campus,248,Mann Elementary School,4430 Newark St NW,,0.9448188002275514,school,38.934193,-77.08786
American University East Campus,422,Lindamood-Bell Learning Process,3201 New Mexico Ave NW,,0.3582811861514178,school,38.933037,-77.084831
American University East Campus,445,Saep Sa,4505 Lowell St NW,,,bar,38.932593,-77.089086
Eastern Market Metro,215,Beuchert's Saloon,623 Pennsylvania Ave SE,8.2,0.9690882722924195,bar,38.884881,-76.997651
Eastern Market Metro,243,Barrel,613 Pennsylvania Ave SE,8.0,0.980065220700762,bar,38.884973,-76.997913
Eastern Market Metro,234,Betsy,514 8th St SE,7.7,0.9555954393583693,bar,38.882189,-76.994681
Eastern Market Metro,287,Mr. Henry's,601 Pennsylvania Ave SE,7.8,0.9772128165888131,bar,38.88522,-76.998233
Eastern Market Metro,460,Sushi Hachi,735 8th St SE,7.6,0.9516453404055862,bar,38.880038,-76.995388
Eastern Market Metro,273,Tunnicliff's Tavern,222 7th St SE,7.1,0.9843518392397862,bar,38.886616,-76.995848
Eastern Market Metro,368,Lola's Barracks Bar & Grill,711 8th St SE,6.6,0.9668528207552461,bar,38.880842,-76.995176
Eastern Market Metro,401,Valor Brewpub,723 TH St SE,6.4,0.9753699712355878,bar,38.880628,-76.995238
Eastern Market Metro,71,Hine Junior High School,335 8th St SE,,0.11911190878716739,school,38.885273,-76.99529
Eastern Market Metro,135,The Wells,727 C St SE,,0.9226726065044428,bar,38.885835,-76.995642
Washington & Independence Ave SW/HHS,437,Platte County School District,400 Maryland Ave SW,,0.6309341623466632,school,38.886485,-77.018792
George Mason Blvd & Armstrong St,355,Capital Ale House,4069 Chain Bridge Rd,,0.9575874858893727,bar,38.844252,-77.30739
George Mason Blvd & Armstrong St,438,Fairfax School Cluster 6,10515 School St,,,school,38.837234,-77.308229
Wilson Blvd & N Troy St,364,Ragtime,1345 N Courthouse Rd,8.1,0.9844124354126375,bar,38.889461,-77.083511
Wilson Blvd & N Troy St,454,Barley Mac,1600 Wilson Blvd,7.8,0.972288774066911,bar,38.89403,-77.077244
Wilson Blvd & N Troy St,196,Ireland's Four Courts,2051 Wilson Blvd,7.0,0.9453857922235372,bar,38.891905,-77.084228
Wilson Blvd & N Troy St,350,Quinn's On The Corner,1776 Wilson Blvd,6.5,0.970556822446093,bar,38.893861,-77.078406
Wilson Blvd & N Troy St,469,Courthaus Social,2300 Clarendon Blvd,6.4,0.9810639956123892,bar,38.890027,-77.086687
Wilson Blvd & N Troy St,286,American Foundation For Pharmaceutical Education,2107 Wilson Blvd,,0.30548740005195857,school,38.893001,-77.085437
Wilson Blvd & N Troy St,398,The Interior Illusions Lounge,2100 Langston Blvd,,0.6916837456340387,bar,38.895842,-77.08371
Wilson Blvd & N Troy St,457,Adam's Corner,2319 Wilson Blvd,,0.08832953266172099,bar,38.891064,-77.087048
Wilson Blvd & N Troy St,485,Francis Scott Key Elementary School,2300 Key Blvd,,0.9711630055133793,school,38.892347,-77.08676
Wilson Blvd & N Troy St,336,Guerra Steakhouse,1725 Wilson Blvd,,,bar,38.894258,-77.078868
John McCormack Rd & Michigan Ave NE,332,Busboys and Poets,625 Monroe St NE,8.1,0.9897842268462506,bar,38.932075,-76.997449
John McCormack Rd & Michigan Ave NE,228,Brookland Pint,716 Monroe St NE,7.5,0.991611047457274,bar,38.932827,-76.995248
John McCormack Rd & Michigan Ave NE,417,Smith Public Trust,3514 12th St NE,7.7,0.6339948881072376,bar,38.93299,-76.991259
John McCormack Rd & Michigan Ave NE,247,Murphy's Grill,620 Michigan Ave NE,,0.5032890783369522,bar,38.932902,-76.997786
John McCormack Rd & Michigan Ave NE,381,Bcafe,3740 12th St NE,5.8,0.7770637864863349,bar,38.935837,-76.991381
John McCormack Rd & Michigan Ave NE,398,The Library Bar & Grill,3548 12th St NE,,0.5963928305303389,bar,38.93304,-76.991307
John McCormack Rd & Michigan Ave NE,411,Luke C Moore High School,1001 Monroe St NE,,0.930596841523312,school,38.932195,-76.992275
John McCormack Rd & Michigan Ave NE,426,The Runaway,3523 12th St NE,,0.9251884910301506,bar,38.933232,-76.990694
John McCormack Rd & Michigan Ave NE,478,Elsie Whitlow Stokes Community Freedom Public Charter School,3700 Oakview Ter NE,,0.9133942807695081,school,38.934959,-76.990026
John McCormack Rd & Michigan Ave NE,479,St Anthony's Catholic School,3400 12th St NE,,0.6806349002860417,school,38.93187,-76.99144
New Hampshire & Gallatin St NW,279,Washington Latin School,5200 2nd St NW,,0.957294062031777,school,38.95397,-77.013898
New Hampshire & Gallatin St NW,455,Mamie D Lee School Dental Clinic,100 Gallatin St NE,,0.9450110971339749,school,38.952892,-77.007418
New Hampshire & Gallatin St NW,99,H&H Transportation,5025 1st St NW,,,school,38.95123,-77.011762
New Hampshire & Gallatin St NW,487,District of Columbia Public School,100 Gallatin St NE,,,school,38.952892,-77.007418
New Hampshire & Gallatin St NW,487,Briya Public Charter School,100 Gallatin St NE,,,school,38.952892,-77.007418
Columbia Rd & Georgia Ave NW,161,Doubles,3118 Georgia Ave NW,8.9,0.973278742378232,bar,38.929545,-77.02371
Columbia Rd & Georgia Ave NW,172,Sonny's Pizza,3120 Georgia Ave NW,8.8,0.9803616784314982,bar,38.92965,-77.023721
Columbia Rd & Georgia Ave NW,159,No Kisses Bar,3120 Georgia Ave NW,8.2,0.9323675755366285,bar,38.92965,-77.023721
Columbia Rd & Georgia Ave NW,419,The Midlands,3333 Georgia Ave NW,8.8,0.9955451216678551,bar,38.931844,-77.023229
Columbia Rd & Georgia Ave NW,485,El Chucho Cocina Superior,3313 11th St NW,8.8,0.9712355877474821,bar,38.931069,-77.027788
Columbia Rd & Georgia Ave NW,277,St Vincent Wine,3212 Georgia Ave NW,7.6,0.9693126186832469,bar,38.930441,-77.02376
Columbia Rd & Georgia Ave NW,461,Hook Hall,3400 Georgia Ave NW,7.9,0.9900646598347849,bar,38.932269,-77.024158
Columbia Rd & Georgia Ave NW,400,The Wonderland Ballroom,1101 Kenyon St NW,7.4,0.9799049732787424,bar,38.929844,-77.027957
Columbia Rd & Georgia Ave NW,367,Peace Lounge,2632 Georgia Ave NW,7.1,0.9135064539649218,bar,38.924938,-77.022901
Columbia Rd & Georgia Ave NW,280,Chuck & Billy's Bar & Carryout,2718 Georgia Ave NW,7.0,0.9231773858838046,bar,38.925674,-77.022976
Langston Blvd & N Woodstock St,100,Cafe Colline,4536 Cherry Hill Rd,7.9,0.9751176283809139,bar,38.898284,-77.119148
Langston Blvd & N Woodstock St,430,Thirsty Bernie,2163 N Glebe Rd,,0.7862483041307046,bar,38.897255,-77.122496
Langston Blvd & N Woodstock St,499,Vermont St Bar & Grill,2343 N Vermont St,,0.7478567098692377,bar,38.902734,-77.11797
Langston Blvd & N Woodstock St,99,Cafe Colline,4536 Langston Blvd,,,bar,38.898389,-77.119159
Washington-Liberty High School / N Stafford St & Generals Way,96,Arlington County Public Schools Education Center,1426 N Quincy St,,0.3224605259359755,school,38.888595,-77.108951
Washington-Liberty High School / N Stafford St & Generals Way,162,Washington-Liberty High School,1300 N Stafford St,,0.9960165112721184,school,38.887393,-77.109668
Washington-Liberty High School / N Stafford St & Generals Way,203,Arlington Public Schools,1426 N Quincy St,,0.28427099269693734,school,38.888449,-77.108725
Washington-Liberty High School / N Stafford St & Generals Way,207,Arlington County School Board,1426 N Quincy St,,0.7073001760817481,school,38.888504,-77.108689
Washington-Liberty High School / N Stafford St & Generals Way,408,The Clubhouse,4350 Washington Blvd,,0.09912536443148688,bar,38.885313,-77.113875
Washington-Liberty High School / N Stafford St & Generals Way,450,Arlington House,1713 N Taylor St,,0.9344744970123835,school,38.892138,-77.112733
Washington-Liberty High School / N Stafford St & Generals Way,156,Washington-Lee High School,1301 N Stafford St,,,school,38.887393,-77.109668
Washington-Liberty High School / N Stafford St & Generals Way,230,Arlington County Special Edu,1426 N Quincy St,,,school,38.888728,-77.108459
Powhatan St & Bashford Ln,432,Commonwealth Academy,1321 Leslie Ave,,0.9508537886872999,school,38.818855,-77.052761
Powhatan St & Bashford Ln,472,Alexandria City Public Schools,1340 Braddock Pl,,0.8349519743863394,school,38.815848,-77.051778
Powhatan St & Bashford Ln,472,Alexandria Specialized,1340 Braddock Pl,,0.4109391675560299,school,38.815902,-77.051741
Powhatan St & Bashford Ln,514,Jim’s Pork & Grain,650 Potomac Ave,,0.7529946236989913,bar,38.823058,-77.049239
Powhatan St & Bashford Ln,472,Minnie Howard School,1340 Braddock Pl,,,school,38.815848,-77.051778
Vantage Hill Rd & Wainwright Dr,212,Lake Anne Elementary School,11598 N Shore Dr,,0.9943280091074571,school,38.965329,-77.346669
Vantage Hill Rd & Wainwright Dr,280,Reston Youth Club,1751 Wainwright Dr,,0.7410822943688791,bar,38.965683,-77.351604
Vantage Hill Rd & Wainwright Dr,214,Lake Anne Elementary School,11510 N Shore Dr,,,school,38.965324,-77.346753
Beech Dr at Draper Dr Park,469,The Revolution Darts & Billiards Fairfax,9687 Fairfax Blvd,7.3,0.9769392033542977,bar,38.863292,-77.278881
Beech Dr at Draper Dr Park,460,Fast Eddie's Sports & Billiards,9687 Fairfax Blvd,6.1,0.9787131107885825,bar,38.863292,-77.278881
Beech Dr at Draper Dr Park,277,TZ Lounge,9738 Fairfax Blvd,,0.9046927914852443,bar,38.864333,-77.281015
Beech Dr at Draper Dr Park,377,Uptown Sushi Bar & Grill,9715 Fairfax Blvd,,0.757781003064022,bar,38.86377,-77.279775
Beech Dr at Draper Dr Park,473,Revolution,9687 Fairfax Blvd,,0.5879696823093049,bar,38.863301,-77.278714
Beech Dr at Draper Dr Park,477,Mosby Woods Elementary School,9819 Five Oaks Rd,,0.9867878532764309,school,38.869859,-77.286076
Beech Dr at Draper Dr Park,498,Fairfax County Public Schools,9819 Five Oaks Rd,,,school,38.869913,-77.28604
