station,distance,name,location.address,rating
Science Museum,684.1986868916679,Fat Dragon Chinese Kitchen and Bar,1200 N Arthur Ashe Blvd,4.1
Science Museum,546.2918424124679,Harry's,2818 W Broad St,4.4
Science Museum,926.4482222938689,Amuse Restaurant,200 N Blvd,4.1
Science Museum,506.49656322509617,River City Roll,939 Myers St,3.9
Science Museum,412.3757209976446,Stanley's,2601 Park Ave,3.9
Science Museum,244.45715661600016,Gus' Bar & Grill,2701 W Broad St,3.5
Science Museum,745.2915058073291,Curbside Cafe,2525 Hanover Ave,4.0
Science Museum,941.927433426974,Beaucoup,111 N Robinson St,4.7
Science Museum,1064.4234259951622,Ardent Craft Ales,3200 W Leigh St,4.3
Science Museum,1179.991821550014,Dont Look Back,3306 W Broad St,3.7
Science Museum,546.2918424124679,Hofheimer Rooftop,2818 W Broad St,3.3
Science Museum,793.0511954664513,McCormack's Whiskey Grill & Smokehouse,204 N Robinson St,3.8
Science Museum,680.4423816115258,Bandito's Burrito Lounge,2905 Patterson Ave,3.4
Science Museum,1153.597545476971,Social52,2619 W Main St,3.7
Science Museum,754.6803695365247,Buddy's Place,600 N Sheppard St,3.9
Science Museum,963.2441007036647,Parlay,3117 W Leigh St,4.4
Browns Island,1007.1195213035509,Basic City Beer,212 W 6th St,4.6
Browns Island,888.975840847744,Echelon Wine Bar,1209 E Cary St,4.2
Browns Island,953.6233608849989,Bateau,301 Virginia St,3.6
Browns Island,921.0774304364528,Casa Fiesta,1218 E Cary St,3.5
Jefferson Ave,926.1098895200116,Alewife,3120 E Marshall St,4.4
Jefferson Ave,605.5164370624527,Honey Whyte's All American Café,2116 E Main St,4.1
Jefferson Ave,800.8562709168488,The Pizza Place,1731 E Main St,3.1
Jefferson Ave,663.6539790149997,Margarita's Cantina,101-107 N 18th St,2.3
Jefferson Ave,813.5540861271307,Wonderland,1727 E Main St,4.3
Jefferson Ave,696.1778124487082,La Bamba,19 N 18th St,3.4
Jefferson Ave,728.3151506797543,McCormack's Irish Pub,12 N 18th St,4.2
Chimborazo Park,956.0765634269474,Island Shrimp - Rocketts Landing,11 Orleans St,3.9
Chimborazo Park,896.4359984021958,The Boathouse,4708 E Old Main St,3.7
Pleasants Park-Oregon Hill,1042.2973596194872,The 4 Cyber Cafe,4 W Broad St,2.7
Pleasants Park-Oregon Hill,998.6943838063752,Juan's Rooftop & Cantina,11 W Broad St,3.0
Petronius Jones Park-Randolph,1130.2074294935196,Pizza & Beer of Richmond,2553 W Cary St,4.0
Petronius Jones Park-Randolph,848.1597584403,Barrio Taqueria + Tequila,2229 W Main St,3.7
Petronius Jones Park-Randolph,999.7357104269773,City Beach,2416 W Cary St,3.6
Petronius Jones Park-Randolph,856.4927546088303,Sticky Rice,2232 W Main St,3.2
Petronius Jones Park-Randolph,857.4074034730677,Pik Nik,2301 WMain St,3.8
